ProjectName,content type,repositoryName,html_url,Organization,description,Participants,pushed_at,git_url,,
Enabling Scientific Collaboration project,project management,2014-EarthCube-BuildingBlocks-EnablingCollaboration-14402930,https://github.com/NCAR/2014-EarthCube-BuildingBlocks-EnablingCollaboration-14402930,EarthCube Enabling Collaboration,EarthCube Building Blocks Grant Enabling Scientific Collaboration NSF#1440293. See also: http://workspace.earthcube.org/enabling-scientific-collaboration-and-discovery-through-semantic-connections.  0 Releases.,"Ben gneissone, hudajkhan, kmaull-ucar, Matt Mayernik, C. Brooks Snyder, John J. Allison",2018-07-12T20:39:57Z,git://github.com/NCAR/2014-EarthCube-BuildingBlocks-EnablingCollaboration-14402930.git,,
Enabling Scientific Collaboration: UNAVCO VIVO project template,Deployed application,2014-EarthCube-BuildingBlocks-EnablingCollaboration-14402930-vivo-source,https://github.com/NCAR/2014-EarthCube-BuildingBlocks-EnablingCollaboration-14402930-vivo-source,EarthCube Enabling Collaboration project,"Three-tier build for EarthCollab VIVO. This is a git repository template for working with and customizing VIVO. It uses the three tiered build approach (https://wiki.duraspace.org/display/VIVO/Building+VIVO+in+3+tiers)  documented by the VIVO project. The project source files (VIVO and Vitro) are tracked using Git Submodules. For a more detailed explanation of setting up the VIVO environment, consult the VIVO version 1.8.1 installation instructions (https://wiki.duraspace.org/display/VIVO/Installing+VIVO+release+1.8.1).  Building VIVO from this template will add UNAVCO-specific customizations.  0 Releases.","Ben gneissone, Ted Lawless",2018-07-25T22:55:52Z,git://github.com/NCAR/2014-EarthCube-BuildingBlocks-EnablingCollaboration-14402930-vivo-source.git,,
Accelerating Scientific workflowS using EarthCube Technologies,None,ASSET,https://github.com/NCAR/ASSET,,This is the Github site for the Accelerating Scientific workflowS using EarthCube Technologies (ASSET) project,Mike Daniels,2018-10-29T22:25:40Z,git://github.com/NCAR/ASSET.git,,
CyberConnector project,Deployed application,cc,https://github.com/CSISS/cc,EarthCube CyberConnector,NSF EarthCube CyberConnector; NSF EarthCube Building Block project.  This project aims to connect the existing data sources to the Earth science models so the generation of modeling products could be more automatic and effortless. 31 Releases.  Documentation https://csiss.github.io/cc/.  Project web site http://cube.csiss.gmu.edu/CyberConnector,"Juozas Gaigalas, Ziheng Sun, Sreten Cvetojevic",2021-06-04T01:47:55Z,git://github.com/CSISS/cc.git,,
CyberConnector Simplified,application,cc-thredds-pycsw,https://github.com/CSISS/cc-thredds-pycsw,EarthCube CyberConnector,"Simplified CyberConnector/CyberWay repository for THREDDS, pycsw, docker system. 1 Release. No documentation",Juozas Gaigalas,5/23/2019,https://github.com/CSISS/cc-thredds-pycsw.git,,
EarthCube CDF Registry Working Group,Specification development,CDFRegistryWG,https://github.com/fils/CDFRegistryWG,EarthCube Council of Data Facilities,"EarthCube CDF Registry Working Group on self hosted facility metadata via HTML5 microdata. Goals are to use existing vocabularies like schema.org and re3data terms to expose facility metadata using web architecture patterns, leverage HTML5 microdata publishing,  JSON-LD, and standard web architecture (hypermedia) to both expose and collect metadata.  0 Releases. Note: see https://github.com/ESIPFed/science-on-schema.org for current activity related to these objectives","Doug Fils, Adam Shepherd",2019-04-23T20:01:19Z,git://github.com/fils/CDFRegistryWG.git,,
GeoCODES Gleaner harvest data graphs,data,CDFSemanticNetwork,https://github.com/earthcubearchitecture-project418/CDFSemanticNetwork,EarthCube GeoCODES,A Semantic Network built from the structured data on the web offerings of the EarthCube CDF members; This repository is an experiment. It holds the output of GeoCODES Gleaner runs done on the various repositories that make up the EarthCube Council of Data Facilities (CDF). runs/CDFSemNetD1 and runs/CDFSemNetD2 hold gzipped archives of rdf triples (N3 encoding) for resources descriptions from harvested CDF repositories.  Other directories contains scripts for running the harvest processes with Gleaner. 0 Releases.,Doug Fils,2020-01-27T18:19:03Z,git://github.com/earthcubearchitecture-project418/CDFSemanticNetwork.git,,
cf-xarray,Notebook,cf-xarray-earthcube,https://github.com/malmans2/cf-xarray-earthcube,,"notebook to demonstrate the use of cf-xarray to build an analysis pipeline that works on a wide variety of cloud-available datasets such as the CMIP6 archive, the CESM Large Ensemble, various satellite datasets, and that uses xESMF to regrid this wide variety of datasets to a common grid to facilitate analysis of anomalies.","Mattia Almansi, Pascal Bourgault, Deepak Cherian",2021-05-14T16:39:00Z,git://github.com/malmans2/cf-xarray-earthcube.git,,
CHORDS application code,Deployed application,chords,https://github.com/earthcubeprojects-chords/chords,EarthCube CHORDS project,"EarthCube CHORDS application code. Website: http://chordsrt.com/. The CHORDS wiki (https://github.com/NCAR/chords_portal/wiki) has lots of nitty-gritty information.  Implemented with Ruby; also containerized distribution. 23 releases.  Contains code for  CHORDS Portal web application. Functionality: --A home page, with a logo and some areas for project definition and customization. --A query that can receive a tupple of data, and ingest it into the database. --A query that can return data from the database. --A webpage that can navigate and show data in a tabular form, and perhaps deliver a CSV file. --A webpage that provides a URL builder, than can be used immediately, and used as a template for client applications. --A webpage which provides a summary of the current data holdings and ingest activity.","Mike Daniels; code committers: Charlie Martin, Mike Dye, terrieyang, Aaron Zastruga, Sophia Chen, intRobyn",2021-10-12T18:34:29Z,git://github.com/earthcubeprojects-chords/chords.git,,
CHORDS project web documentation,documentation,chords-docs,https://github.com/earthcubeprojects-chords/chords-docs,EarthCube CHORDS project,"EarthCube CHORDS Web Documentation; The content explains what CHORDS is, how to use use it in new and advanced ways, answer as many user questions as possible, and post any exciting news. The website is published using GitHub Pages, and runs on the Jekyll framework, using the Jekyll Minimal Mistakes Theme. 0 Releases. Published documentation: https://earthcubeprojects-chords.github.io/chords-docs/","Charlie Martin, intRobyn, CrazyCatProgrammer, Mike Dye",2021-09-27T21:58:57Z,git://github.com/earthcubeprojects-chords/chords-docs.git,,
